product_id,post_title,price,stock_quantity,chiffre_affaires_produit,chiffre_affaires_total
4566.0,Domaine de Montcalmès Coteaux du Languedoc Blanc 2017,28.5,3.0,85.5,388287.4999999999
5797.0,Château Saransot-Dupré Listrac-Médoc 2016,17.2,123.0,2115.6,388287.4999999999
5912.0,Kingsbarns Distillery Lowland Single Malt Whisky,57.0,8.0,456.0,388287.4999999999
4176.0,Domaine de l'Hortus Pic Saint-Loup La Bergerie Rouge 2018,13.5,276.0,3726.0,388287.4999999999
5630.0,Parés Baltà Penedès Electio 2013,28.0,1.0,28.0,388287.4999999999
4703.0,Albert Mann Crémant d'Alsace Extra Brut 2017,19.8,2.0,39.6,388287.4999999999
5613.0,Albert Boxler Chasselas 2016,19.2,11.0,211.2,388287.4999999999
4194.0,Château de La Liquière Faugères 2017,10.8,5.0,54.0,388287.4999999999
5747.0,Thibaud Boudignon Anjou Blanc 2018,24.5,1.0,24.5,388287.4999999999
4257.0,Domaine Huet Vouvray Le Mont Moelleux 2015,31.7,0.0,0.0,388287.4999999999
4187.0,Le Pas de l'Escalette Languedoc Les Petits Pas 2019,13.3,90.0,1197.0,388287.4999999999
4288.0,Domaine Hauvette IGP Alpilles Jaspe 2017,26.7,8.0,213.6,388287.4999999999
4173.0,Maurel Pays d'Oc Chenin-Colombard 2019,5.7,100.0,570.0,388287.4999999999
5770.0,Camille Giroud Santenay Blanc 2017,34.4,54.0,1857.6,388287.4999999999
5809.0,Château Tour De Pez Saint-Estèphe Les Hauts de Pez 2016,17.9,0.0,0.0,388287.4999999999
4181.0,Borie La Vitarèle Saint-Chinian Les Terres Blanches 2019,11.9,137.0,1630.3,388287.4999999999
6073.0,Jacqueson Rully Rouge 1er Cru Les Preaux 2018,24.5,19.0,465.5,388287.4999999999
4722.0,François Baur Pinot Gris Herrenweg de Turckheim 2018,13.7,0.0,0.0,388287.4999999999
5968.0,Zind-Humbrecht Pinot Gris Clos Windsbuhl 2013,71.5,18.0,1287.0,388287.4999999999
5707.0,Domaine des Terres d'Ocre Saint-Pourçain Rouge Instant T 2015,10.8,13.0,140.4,388287.4999999999
4157.0,Planeta Sicilia Alastro 2017,12.0,10.0,120.0,388287.4999999999
5893.0,Gilbert Picq Chablis 1er Cru Vaucoupin 2016,26.6,65.0,1729.0,388287.4999999999
4728.0,Maurice Schoech Gewurztraminer Vendanges Tardives 2017,29.5,20.0,590.0,388287.4999999999
4336.0,Champagne Mailly Grand Cru Blanc de Pinot Noir,35.5,36.0,1278.0,388287.4999999999
4398.0,Wemyss Malts Blended Malt Scotch Whisky Peat Chimney Batch Strength,59.0,0.0,0.0,388287.4999999999
5068.0,Albert Mann Pinot Noir Grand P 2017,59.9,1.0,59.9,388287.4999999999
4178.0,Domaine de l'Hortus Pic Saint-Loup La Bergerie Rosé 2019,11.5,12.0,138.0,388287.4999999999
4245.0,Parcé Frères IGP Pays d'Oc Zoé Viognier 2019,8.9,141.0,1254.9,388287.4999999999
4053.0,Clos du Mont-Olivet Châteauneuf-du-Pape 2012,44.3,16.0,708.8,388287.4999999999
4755.0,Domaine de Montgilet Vin de France Grolleau 2019,7.4,97.0,717.8000000000001,388287.4999999999
6093.0,Château de Villeneuve Saumur-Champigny 2017,12.6,0.0,0.0,388287.4999999999
5826.0,Agnès Levet Côte Rôtie Améthyste 2017,41.2,12.0,494.40000000000003,388287.4999999999
5795.0,Château de Chantegrive Graves Blanc Caroline 2016,23.0,18.0,414.0,388287.4999999999
5959.0,Domaine Labranche Laffont Madiran Vieilles Vignes 2015,15.4,32.0,492.8,388287.4999999999
5504.0,Château de la Selve Coteaux de l'Ardèche Blanc Saint-Régis Blanc 2019,13.8,35.0,483.0,388287.4999999999
